TimeUTC;ГО ГРЭС 1ГТ, U1, В[06222106/U+/none/none];ГО ГРЭС 1ГТ, P, Вт[06222106/P/none/none];ГО ГРЭС 1ГТ, Q, вар[06222106/Q/none/none];ГО ГРЭС 1ГТ, Fu1, Гц[06222106/Fu1/none/none];ГО ГРЭС 3ГТ, U1, В[06222306/U+/none/none];ГО ГРЭС 3ГТ, P, Вт[06222306/P/none/none];ГО ГРЭС 3ГТ, Q, вар[06222306/Q/none/none];ГО ГРЭС 3ГТ, Fu1, Гц[06222306/Fu1/none/none];ГО ГРЭС 5ГТ, U1, В[06222506/U+/none/none];ГО ГРЭС 5ГТ, P, Вт[06222506/P/none/none];ГО ГРЭС 5ГТ, Q, вар[06222506/Q/none/none];ГО ГРЭС 5ГТ, Fu1, Гц[06222506/Fu1/none/none]
11.05.2024 16:17:22.000000;9060,130859375;169579840;3970869,5;49,993186950683594;9352,298828125;124993600;39414288;49,99390411376953;9298,5517578125;174711440;42353072;49,99365234375
11.05.2024 16:17:22.020000;9059,822265625;169545632;3988221,25;49,99356460571289;9352,2392578125;125002816;39432560;49,99293899536133;9298,7626953125;174757488;42413108;49,99401092529297
11.05.2024 16:17:22.040000;9059,5927734375;169491680;3964055,25;49,992862701416016;9352,3466796875;124977448;39435032;49,993309020996094;9298,849609375;174795072;42443748;49,99332046508789
11.05.2024 16:17:22.060000;9060,0546875;169418192;3950685,25;49,99290084838867;9352,560546875;124926536;39419712;49,99331283569336;9299,17578125;174756464;42419504;49,99336624145508
11.05.2024 16:17:22.080000;9059,9453125;169356304;3947578;49,99314498901367;9352,521484375;124871736;39415472;49,99369812011719;9298,814453125;174684080;42377500;49,99332809448242
11.05.2024 16:17:22.100000;9060,396484375;169314656;3974482;49,99351119995117;9352,404296875;124833696;39437996;49,99376678466797;9298,4912109375;174632448;42379264;49,99355697631836
11.05.2024 16:17:22.120000;9060,1806640625;169280688;3986315;49,99308395385742;9352,3828125;124837416;39467164;49,993568420410156;9298,8798828125;174651648;42407396;49,99367141723633
11.05.2024 16:17:22.140000;9060,4140625;169272752;4000419;49,993873596191406;9352,6552734375;124850200;39495888;49,9931526184082;9299,154296875;174651456;42472156;49,99346160888672
11.05.2024 16:17:22.160000;9060,5595703125;169214208;4024929,25;49,9932861328125;9353,3349609375;124827864;39538040;49,994258880615234;9299,6748046875;174645136;42521740;49,994110107421875
11.05.2024 16:17:22.180000;9061,2529296875;169170768;4042920,5;49,99423599243164;9353,5439453125;124774096;39562876;49,99413299560547;9300,162109375;174603760;42547012;49,99439239501953
11.05.2024 16:17:22.200000;9061,1318359375;169109776;4038665,25;49,994056701660156;9353,5625;124762312;39574944;49,994544982910156;9299,9169921875;174565936;42548980;49,9942741394043
11.05.2024 16:17:22.220000;9061,587890625;169104576;4046433;49,993560791015625;9353,443359375;124756952;39573176;49,99379348754883;9300,0029296875;174534240;42546620;49,99382019042969
11.05.2024 16:17:22.240000;9061,630859375;169071232;4076490,5;49,994266510009766;9353,8212890625;124704928;39586460;49,99412536621094;9299,810546875;174473312;42563228;49,99432373046875
11.05.2024 16:17:22.260000;9062,1181640625;169043856;4092332,75;49,994476318359375;9354,0400390625;124674416;39620212;49,995018005371094;9300,5966796875;174480128;42633684;49,99513626098633
11.05.2024 16:17:22.280000;9062,703125;169020432;4118704;49,99528503417969;9354,4677734375;124633632;39642764;49,994781494140625;9301,4794921875;174474048;42735528;49,994590759277344
11.05.2024 16:17:22.300000;9062,5244140625;168970720;4138914,75;49,99518966674805;9354,3046875;124621464;39672512;49,99518966674805;9301,1806640625;174468448;42793560;49,99553298950195
11.05.2024 16:17:22.320000;9062,8525390625;168978432;4154720,25;49,994937896728516;9354,3828125;124603080;39693068;49,99536895751953;9301,3203125;174427072;42808792;49,995216369628906
11.05.2024 16:17:22.340000;9063,0234375;168948880;4172457;49,995391845703125;9354,3564453125;124610176;39713304;49,99531173706055;9301,466796875;174428080;42833576;49,99544906616211
11.05.2024 16:17:22.360000;9062,8974609375;168948640;4181205,25;49,995506286621094;9354,3740234375;124603888;39723748;49,99571990966797;9301,5693359375;174381472;42877660;49,99550247192383
11.05.2024 16:17:22.380000;9063,52734375;168936480;4212798,5;49,99580383300781;9354,75390625;124608400;39754008;49,996341705322266;9302,09375;174384048;42911956;49,99552536010742
11.05.2024 16:17:22.400000;9064,072265625;168955168;4227939,5;49,99656295776367;9355,3720703125;124640760;39808172;49,996185302734375;9302,1083984375;174377520;42988464;49,996578216552734
11.05.2024 16:17:22.420000;9064,294921875;168960208;4222584,5;49,99592971801758;9355,916015625;124678944;39851892;49,99647521972656;9303,173828125;174409120;43059396;49,99602508544922
11.05.2024 16:17:22.440000;9064,5634765625;168957200;4218198,5;49,99662399291992;9356,0048828125;124705472;39861144;49,996578216552734;9303,5361328125;174464912;43120792;49,996803283691406
11.05.2024 16:17:22.460000;9064,3291015625;168981840;4215740,5;49,996917724609375;9356,26953125;124734576;39861380;49,996707916259766;9303,958984375;174471920;43177412;49,99613571166992
11.05.2024 16:17:22.480000;9064,9951171875;168975408;4224668;49,99652862548828;9356,56640625;124742624;39859976;49,99657440185547;9304,2978515625;174498240;43178468;49,99723815917969
11.05.2024 16:17:22.500000;9065,2373046875;169006128;4200774;49,99692916870117;9356,916015625;124749504;39851720;49,99757766723633;9304,5361328125;174461136;43203340;49,99687194824219
11.05.2024 16:17:22.520000;9066,0146484375;169007232;4215195;49,997161865234375;9357,20703125;124746576;39864676;49,997005462646484;9305,166015625;174471168;43258724;49,99723815917969
11.05.2024 16:17:22.540000;9066,138671875;169034016;4213208;49,99750900268555;9357,330078125;124791352;39899008;49,99697494506836;9305,5234375;174487520;43308504;49,99720764160156
11.05.2024 16:17:22.560000;9065,69921875;169012512;4201877;49,9973030090332;9357,51953125;124778336;39919100;49,997318267822266;9305,9580078125;174500304;43381488;49,997352600097656
11.05.2024 16:17:22.580000;9065,5703125;168989232;4189281,75;49,99760055541992;9357,6806640625;124777560;39906656;49,99795913696289;9305,9775390625;174533984;43451832;49,997982025146484
11.05.2024 16:17:22.600000;9066,234375;169019760;4191444,25;49,997802734375;9357,666015625;124742600;39867912;49,99759292602539;9306,4951171875;174543488;43475576;49,997352600097656
11.05.2024 16:17:22.620000;9066,3173828125;169101632;4228522,5;49,997554779052734;9357,8427734375;124799088;39859812;49,99733352661133;9306,7265625;174624944;43512440;49,99774932861328
11.05.2024 16:17:22.640000;9066,3349609375;169201072;4238284;49,9981575012207;9358,1474609375;124864528;39886424;49,99724197387695;9306,96484375;174637248;43510840;49,997562408447266
11.05.2024 16:17:22.660000;9066,17578125;169238560;4237968,5;49,99736785888672;9357,849609375;124957464;39932600;49,99754333496094;9306,5322265625;174708576;43530008;49,997032165527344
11.05.2024 16:17:22.680000;9065,9736328125;169312880;4226924;49,99721908569336;9357,470703125;125041952;39939316;49,99711227416992;9306,4541015625;174753904;43547656;49,996700286865234
11.05.2024 16:17:22.700000;9065,4775390625;169345472;4222623;49,99717330932617;9357,326171875;125115472;39956652;49,9969596862793;9306,4072265625;174839232;43634932;49,99662399291992
11.05.2024 16:17:22.720000;9065,65234375;169406464;4231127,5;49,997314453125;9357,3388671875;125168496;39972356;49,99690246582031;9306,6083984375;174917344;43692632;49,99785614013672
11.05.2024 16:17:22.740000;9065,6611328125;169466816;4235792;49,997901916503906;9357,80859375;125225888;40011972;49,99775314331055;9306,888671875;174955440;43745036;49,997718811035156
11.05.2024 16:17:22.760000;9065,814453125;169504560;4219648;49,99766540527344;9358,158203125;125274384;40038956;49,9973258972168;9307,171875;174979824;43708084;49,99706268310547
11.05.2024 16:17:22.780000;9065,87109375;169529472;4207454;49,997615814208984;9358,4033203125;125287192;40043700;49,99791717529297;9307,4013671875;174895536;43693316;49,997337341308594
11.05.2024 16:17:22.800000;9066,169921875;169549568;4212465,5;49,997657775878906;9358,6044921875;125271584;40030384;49,997467041015625;9307,51171875;174850544;43664396;49,997047424316406
11.05.2024 16:17:22.820000;9066,767578125;169638304;4242627;49,99775314331055;9358,990234375;125261848;40037812;49,997371673583984;9307,8251953125;174754624;43652400;49,9974365234375
11.05.2024 16:17:22.840000;9066,474609375;169654736;4235868,5;49,99747085571289;9359,2216796875;125255072;40061128;49,99709701538086;9308,1708984375;174715456;43661880;49,996864318847656
11.05.2024 16:17:22.860000;9065,88671875;169626400;4181092,5;49,99763870239258;9358,9951171875;125230280;40056428;49,99745178222656;9308,16015625;174658912;43691512;49,99729537963867
11.05.2024 16:17:22.880000;9066,1201171875;169568336;4136138,5;49,997474670410156;9359,37109375;125125776;39989528;49,997188568115234;9308,560546875;174604240;43699808;49,99760818481445
11.05.2024 16:17:22.900000;9066,36328125;169536240;4126473,25;49,99735641479492;9359,349609375;125024944;39944480;49,9976921081543;9308,779296875;174518384;43695244;49,99708938598633
11.05.2024 16:17:22.920000;9066,76171875;169551920;4151970,25;49,99784851074219;9359,3818359375;124951040;39924200;49,99722671508789;9308,8779296875;174427136;43686112;49,99729537963867
11.05.2024 16:17:22.940000;9066,369140625;169555600;4164550,5;49,99759292602539;9359,26953125;124923392;39926596;49,99690246582031;9308,748046875;174396800;43695200;49,997135162353516
11.05.2024 16:17:22.960000;9066,564453125;169564704;4152620,5;49,996952056884766;9359,4384765625;124899896;39956528;49,99700927734375;9308,908203125;174351824;43720548;49,99735641479492
11.05.2024 16:17:22.980000;9066,673828125;169520384;4136783;49,997554779052734;9359,80078125;124871416;39976668;49,99729919433594;9309,0947265625;174349232;43691128;49,99732208251953
11.05.2024 16:17:23.000000;9066,69140625;169498608;4131484,5;49,99716567993164;9359,892578125;124831496;39962484;49,99809646606445;9309,5029296875;174281904;43701360;49,99710464477539
11.05.2024 16:17:23.020000;9066,72265625;169472752;4151132,5;49,9979133605957;9359,61328125;124770120;39919548;49,99701690673828;9309,796875;174297168;43733960;49,99826431274414
11.05.2024 16:17:23.040000;9067,2001953125;169492160;4153904,75;49,99738311767578;9359,814453125;124725368;39881392;49,99715805053711;9309,9599609375;174306864;43757588;49,997554779052734
11.05.2024 16:17:23.060000;9066,9990234375;169439472;4140302,5;49,99742889404297;9359,828125;124708232;39880616;49,99772262573242;9310,021484375;174368016;43820476;49,997764587402344
11.05.2024 16:17:23.080000;9066,951171875;169400336;4145564,25;49,997398376464844;9359,58203125;124751424;39940908;49,997684478759766;9309,8447265625;174455168;43870856;49,997806549072266
11.05.2024 16:17:23.100000;9066,52734375;169397168;4178290,5;49,9969367980957;9359,54296875;124813600;39983652;49,99744415283203;9309,4580078125;174462576;43874596;49,99735641479492
11.05.2024 16:17:23.120000;9066,9345703125;169408944;4220440;49,9978141784668;9359,5048828125;124831968;39961060;49,99737548828125;9309,6171875;174501312;43830568;49,99734878540039
11.05.2024 16:17:23.140000;9066,751953125;169406928;4232796,5;49,99728012084961;9359,2861328125;124848448;39915360;49,9976806640625;9309,5361328125;174504576;43855016;49,997772216796875
11.05.2024 16:17:23.160000;9066,724609375;169384224;4211956;49,997230529785156;9359,1640625;124890464;39892364;49,99722671508789;9309,630859375;174622592;43865844;49,997535705566406
11.05.2024 16:17:23.180000;9066,4990234375;169334192;4197240,5;49,99717712402344;9359,330078125;124973576;39941596;49,99765396118164;9309,587890625;174657408;43881256;49,99766540527344
11.05.2024 16:17:23.200000;9066,3115234375;169300816;4206685,5;49,996829986572266;9359,365234375;125028760;39968428;49,997623443603516;9309,705078125;174717424;43900268;49,99757766723633
11.05.2024 16:17:23.220000;9066,5068359375;169286544;4236480,5;49,9973258972168;9359,091796875;125044640;39914884;49,99778366088867;9309,3623046875;174719856;43883860;49,997222900390625
11.05.2024 16:17:23.240000;9066,85546875;169293728;4256738;49,99753189086914;9358,8701171875;125027904;39842368;49,99733352661133;9309,609375;174727968;43881808;49,997520446777344
11.05.2024 16:17:23.260000;9066,697265625;169276144;4254170;49,9971809387207;9358,787109375;125064128;39821256;49,99760818481445;9309,490234375;174787680;43887744;49,997798919677734
11.05.2024 16:17:23.280000;9066,4921875;169265984;4222207,5;49,997135162353516;9358,744140625;125131040;39810428;49,99738311767578;9309,6005859375;174801584;43886532;49,996952056884766
11.05.2024 16:17:23.300000;9065,87890625;169239456;4208757,5;49,9970703125;9358,6513671875;125204864;39808324;49,997188568115234;9309,46875;174877968;43897152;49,99758529663086
11.05.2024 16:17:23.320000;9066,212890625;169235840;4206412;49,99631881713867;9358,3984375;125234752;39791660;49,99699783325195;9309,326171875;174813136;43890268;49,996341705322266
11.05.2024 16:17:23.340000;9066,3427734375;169259648;4221930,5;49,99679183959961;9358,2734375;125291360;39791360;49,996700286865234;9309,357421875;174823520;43875400;49,996498107910156
11.05.2024 16:17:23.360000;9066,36328125;169304224;4257332,5;49,997188568115234;9358,3984375;125311760;39793616;49,99724197387695;9308,9716796875;174746560;43850304;49,99730682373047
11.05.2024 16:17:23.380000;9066,439453125;169301520;4273405;49,99781799316406;9358,5439453125;125316496;39800484;49,99774169921875;9309,130859375;174683152;43816248;49,99649429321289
11.05.2024 16:17:23.400000;9066,2158203125;169297024;4275023,5;49,99747085571289;9358,099609375;125303480;39787344;49,997249603271484;9308,7890625;174633168;43847524;49,99764633178711
11.05.2024 16:17:23.420000;9065,84375;169296528;4248919;49,9966926574707;9357,9033203125;125279488;39724536;49,99686050415039;9308,7802734375;174591632;43877988;49,99693298339844
11.05.2024 16:17:23.440000;9065,8369140625;169286592;4225062,5;49,99713134765625;9357,4677734375;125221368;39678812;49,99656295776367;9308,9931640625;174598352;43857116;49,996620178222656
11.05.2024 16:17:23.460000;9065,6025390625;169286736;4213205,5;49,9969482421875;9357,6572265625;125174704;39652440;49,9969596862793;9308,7890625;174490496;43833884;49,996482849121094
11.05.2024 16:17:23.480000;9065,8349609375;169302832;4210540;49,99752426147461;9357,9443359375;125167048;39660472;49,99729919433594;9308,916015625;174518848;43823732;49,99736404418945
11.05.2024 16:17:23.500000;9065,857421875;169349888;4222894,5;49,997032165527344;9357,9638671875;125158544;39668804;49,996673583984375;9309,1806640625;174458288;43839956;49,99714279174805
11.05.2024 16:17:23.520000;9066,001953125;169375376;4235838,5;49,99710464477539;9357,7109375;125105456;39648820;49,99728775024414;9309,265625;174480784;43875456;49,997161865234375
11.05.2024 16:17:23.540000;9065,7763671875;169351344;4221141;49,9976692199707;9357,509765625;125023088;39637016;49,99658966064453;9309,0927734375;174439184;43878864;49,996864318847656
11.05.2024 16:17:23.560000;9065,9267578125;169363824;4248394,5;49,99699401855469;9357,541015625;124976624;39648392;49,99715042114258;9309,13671875;174393616;43863084;49,997093200683594
11.05.2024 16:17:23.580000;9066,1357421875;169399440;4297671;49,99772262573242;9357,5234375;124925888;39663428;49,99740982055664;9309,05078125;174375728;43854176;49,99742889404297
11.05.2024 16:17:23.600000;9066,1689453125;169440416;4318809,5;49,99740219116211;9357,65234375;124891120;39650756;49,99725341796875;9309,4365234375;174372720;43913324;49,9976806640625
11.05.2024 16:17:23.620000;9066,216796875;169404304;4272680,5;49,99726486206055;9357,5517578125;124827304;39614016;49,997005462646484;9309,5888671875;174443184;43934248;49,9975700378418
11.05.2024 16:17:23.640000;9065,4326171875;169333264;4239649;49,99721908569336;9357,1455078125;124804768;39618772;49,99773025512695;9309,19140625;174446272;43960584;49,99794006347656
11.05.2024 16:17:23.660000;9065,0693359375;169317456;4239779;49,99681854248047;9356,7939453125;124835024;39641784;49,99694061279297;9308,8798828125;174527248;43947200;49,99692916870117
11.05.2024 16:17:23.680000;9065,5458984375;169351168;4268413,5;49,99630355834961;9357,1142578125;124894376;39679768;49,99675369262695;9308,7880859375;174550864;43939784;49,9967041015625
11.05.2024 16:17:23.700000;9065,28125;169355072;4284969;49,997459411621094;9357,0078125;124924696;39700428;49,99745178222656;9308,712890625;174620880;43938156;49,9969596862793
11.05.2024 16:17:23.720000;9065,478515625;169331712;4283775;49,9969367980957;9356,673828125;124926928;39665232;49,997215270996094;9308,5244140625;174653280;43963296;49,997188568115234
11.05.2024 16:17:23.740000;9064,8662109375;169302144;4263488;49,99689483642578;9356,4345703125;124934792;39609408;49,99679946899414;9308,5439453125;174680256;43969516;49,9974479675293
11.05.2024 16:17:23.760000;9065,0078125;169298544;4282826;49,996822357177734;9356,27734375;124943920;39585228;49,99686050415039;9307,912109375;174718208;43933456;49,99684143066406
11.05.2024 16:17:23.780000;9065,5634765625;169321088;4306828;49,99712371826172;9356,4892578125;124981336;39611208;49,99748229980469;9308,0380859375;174676768;43911480;49,996883392333984
11.05.2024 16:17:23.800000;9065,05078125;169270448;4302001;49,997406005859375;9356,47265625;125024024;39643508;49,99721145629883;9308,1748046875;174751840;43942380;49,997589111328125
11.05.2024 16:17:23.820000;9065,2060546875;169257232;4291926;49,99654006958008;9356,0986328125;125071544;39631060;49,99773025512695;9308,0732421875;174720976;43989952;49,996849060058594
11.05.2024 16:17:23.840000;9065,3037109375;169237952;4306383,5;49,99709701538086;9355,984375;125052600;39578244;49,996604919433594;9308,21875;174773488;43994600;49,996978759765625
11.05.2024 16:17:23.860000;9065,265625;169214576;4308706,5;49,996761322021484;9355,73828125;125034816;39554264;49,9969367980957;9307,9833984375;174702880;43964200;49,99713134765625
11.05.2024 16:17:23.880000;9064,537109375;169182416;4309839,5;49,996864318847656;9355,5576171875;125090616;39599860;49,99747085571289;9307,6259765625;174679824;43941888;49,9966926574707
