Âðåìÿ, [ñ];Ug, [êÂ];Pg, [ÌÂò];Qg, [ÌÂàð];Fg, [Ãö];Uf, [Â];If, [À]
100.02;209.9936418;319.8081488;307.3283429;49.99991608;0.526068389;0.52149713
100.04;209.9934706;319.8068377;307.3236732;49.99991989;0.526331186;0.521504462
100.06;209.9932988;319.8055421;307.3189879;49.99991608;0.526050091;0.521498621
100.08;209.9932737;319.8054248;307.3167847;49.99990845;0.526543915;0.521504045
100.1;209.9936772;319.8094249;307.3271544;49.99991226;0.527716219;0.521533072
100.12;209.9943853;319.8157858;307.3479213;49.99992371;0.527047455;0.521553159
100.14;209.9950289;319.8208655;307.366988;49.99992371;0.526660502;0.521554768
100.16;209.9954745;319.8240085;307.3798179;49.99991989;0.526397884;0.521550953
100.18;209.9957491;319.825902;307.3877436;49.99991989;0.52612865;0.52154845
100.2;209.9959834;319.827541;307.3938237;49.99991608;0.526672781;0.521545887
100.22;209.9963038;319.8299514;307.4017335;49.99991608;0.526648343;0.521552205
100.24;209.9966832;319.8329782;307.4124907;49.99992752;0.526723206;0.521556854
100.26;209.9967822;319.8335885;307.4178817;49.99993134;0.525211871;0.521552324
100.28;209.9963114;319.8289478;307.4063065;49.99991989;0.524806678;0.521515846
100.3;209.9955034;319.8217734;307.3821324;49.99991226;0.525300682;0.521490037
100.32;209.9948915;319.816919;307.3630556;49.99991608;0.526579738;0.52149415
100.34;209.9947165;319.8161846;307.3578577;49.99991608;0.526700199;0.521513641
100.36;209.9947111;319.8167251;307.3584994;49.99991608;0.526166677;0.521521449
100.38;209.9945209;319.8151493;307.3534955;49.99991608;0.525485516;0.521509826
100.4;209.9942055;319.8123799;307.3440933;49.99991608;0.526068389;0.521498859
100.42;209.9940437;319.811237;307.3391266;49.99991608;0.526585221;0.521508217
100.44;209.993935;319.8106375;307.3365583;49.99991608;0.525832236;0.521509111
100.46;209.9937319;319.8089817;307.3311049;49.99991608;0.526031017;0.521498322
100.48;209.9935563;319.807606;307.3262325;49.99991608;0.526155353;0.521506131
100.5;209.9934071;319.8064131;307.3218292;49.99991989;0.526045918;0.521498859
100.52;209.9932134;319.8047528;307.3157669;49.99991226;0.525930941;0.521498144
100.54;209.9933196;319.8060986;307.3174812;49.99990845;0.527795136;0.521511495
100.56;209.9939346;319.8119523;307.3345146;49.99991608;0.527447879;0.521546602
100.58;209.9946779;319.8182192;307.3564935;49.99992371;0.526575565;0.521556199
100.6;209.9952312;319.8222984;307.372631;49.99991989;0.526490033;0.521553278
100.62;209.995587;319.8247959;307.3829096;49.99991989;0.52639538;0.52154845
100.64;209.9958623;319.8267125;307.3904052;49.99991989;0.526509821;0.521547198
100.66;209.9961554;319.8289034;307.3980976;49.99991608;0.526683033;0.521550596
100.68;209.9965384;319.8319409;307.4082176;49.99991989;0.526424587;0.521555841
100.7;209.996736;319.8333995;307.4155491;49.99993134;0.526643872;0.521557629
100.72;209.9963433;319.8294223;307.4068485;49.99992752;0.524476647;0.521514833
100.74;209.9956177;319.8228048;307.3855253;49.99991226;0.525781274;0.521498621
100.76;209.9951037;319.8187285;307.369146;49.99991226;0.526332617;0.521499693
100.78;209.9948871;319.8175393;307.3628023;49.99991608;0.526368141;0.521513939
100.8;209.9947107;319.8164842;307.3584086;49.99991608;0.525799036;0.521513164
100.82;209.9944447;319.8144131;307.3511012;49.99991608;0.526022971;0.521502972
100.84;209.9942736;319.8131422;307.3460909;49.99991608;0.526523292;0.521510303
100.86;209.9941379;319.8122427;307.3426841;49.99991608;0.525802433;0.521510065
100.88;209.9939302;319.8104492;307.3365912;49.99991608;0.525882006;0.521500528
100.9;209.9937412;319.8089511;307.3310572;49.99991608;0.526310563;0.521505952
100.92;209.9935832;319.8078635;307.3269444;49.99991608;0.526046753;0.52150023
100.94;209.9934342;319.8066234;307.3225689;49.99991989;0.526153803;0.521500051
100.96;209.9932492;319.8049795;307.3169868;49.99991608;0.52590692;0.521499157
100.98;209.9931332;319.8041291;307.3128575;49.99990845;0.526331723;0.521498859
101;209.9934332;319.8073033;307.3202884;49.99990845;0.52767688;0.521525323
101.02;209.9941101;319.8135717;307.3399452;49.99991989;0.527178764;0.521549284
101.04;209.9435715;321.9350034;308.3285903;49.99534988;0.526744962;0.521554112
101.06;209.4401293;331.7726313;369.7054901;50.00228119;0.526410401;0.521550894
101.08;211.4680988;238.70438;174.1768325;50.04241562;0.526285529;0.521548033
